S.No.,Song,Artist,Writer,Album,Year,Lyrics
26,"""Happily""",One Direction,"Savan Kotecha, Carl Falk, Harry Styles",Midnight Memories,2013,"[Verse 1: Harry]
You don't understand, you don't understand (Yeah)
What you do to me when you hold his hand (Hey)
We were meant to be, but a twist of fate (Yeah)
Made it so we had to walk away (Hey)

[Pre-Chorus: Niall, Zayn]
'Cause we're on fire
We are on fire
We're on fire now
Yeah, we're on fire
We are on fire
We're on fire now
(One, two, three)

[Chorus: All, Harry]
I don't care what people say when we're together
You know I wanna be the one
Who'll hold you when you sleep
I just want it to be you and I forever
I know you wanna leave, so c'mon
Baby, be with me so happily

[Verse 2: Liam, Louis, All]
(Hey) It's 4AM and I know that you're with him
(Yeah) I wonder if he knows that I touched your skin
(Hey) And if he feels my traces in your hair
(Yeah) I'm sorry, love, but I don't really care

[Pre-Chorus: Niall, Zayn]
'Cause we're on fire
We are on fire
We're on fire now
Yeah, we're on fire
We are on fire
We're on fire now
(One, two, three)

[Chorus: All, Harry, Liam]
I don't care what people say when we're together
You know I wanna be the one
Who'll hold you when you sleep
I just want it to be you and I forever
I know you wanna leave, so c'mon
Baby, be with me so happily
So happily

[Bridge: Harry, All, Liam]
One, two, three, four
Oh-oh-oh, oh-oh, oh-oh-oh-oh, we're on fire now
Oh-oh-oh, oh-oh, oh-oh-oh-oh, we're on fire now (We're on fire)
Oh-oh-oh, oh-oh, oh-oh-oh-oh, we're on fire now

[Chorus: All, Niall, Harry]
I don't care what people say when we're together
You know I wanna be the one
Who'll hold you when you sleep
I just want it to be you and I forever (Yeah, yeah)
I know you wanna leave, so c'mon
Baby, be with me so happily
I don't care what people say when we're together
You know I wanna be the one
Who'll hold you when you sleep
I just want it to be you and I forever
I know you wanna leave, so c'mon
Baby, be with me so happily"
27,"""Heart Attack""",One Direction,"Rami Yacoub, Carl Falk, Savan Kotecha, Shellback, Kristian Lundin",Take Me Home,2012,"[Verse 1: Harry]
Baby, you got me sick, I don't know what I did
Need to take a break and figure it out, yeah
Got your voice in my head saying, ""Let's just be friends""
Can't believe the words came outta your mouth, yeah

[Pre-Chorus: Zayn]
I'm tryna be okay, I'm tryna be alright
But seeing you with him just don't feel right

[Chorus: Harry, Niall, All]
And I'm, like, (Ow!)
Never thought it'd hurt so bad, gettin' over you, ooh
And (Ow!)
You're giving me a heart attack looking like you do, ooh
'Cause you're all I ever wanted, thought you would be the one
It's (Ow!) giving me a heart attack
Gettin' over you, ooh, ooh, ooh

[Verse 2: Liam, Niall]
Yeah, baby, now that you're gone, I can't stand dumb love songs
Missing you is all I'm thinkin' about, yeah
Everyone's telling me, I'm just too blind to see
How you messed me up, I'm better off now, yeah

[Pre-Chorus: Zayn]
I'm tryna be okay, I'm tryna be alright
But seeing you with him just don't feel right

[Chorus: Harry, Niall, All, Zayn]
And I'm, like, (Ow!)
Never thought it'd hurt so bad, gettin' over you, ooh
And (Ow!)
You're giving me a heart attack looking like you do, ooh
'Cause you're all I ever wanted (Yeah), thought you would be the one
It's (Ow!) giving me a heart attack (Huh)
Gettin' over you, ooh, ooh, ooh

[Post-Chorus: All, Harry, Niall, Louis, *Zayn*]
(Oh-oh, oh-oh-oh-oh)
Oh-oh, oh (Ow!)
Yeah, every time you look like that (Ow!)
(Oh-oh, oh-oh-oh-oh)
*Oh-oh, oh* (Ow!)
You're giving me a heart attack

[Builtup: Louis]
But seeing you with him just don't feel right

[Chorus: Harry, Niall, All, Zayn]
And I'm, like, (Ow!; Never thought it'd hurt so bad)
Never thought it'd hurt so bad, gettin' over you, ooh
And (Ow!; You're giving me a heart attack)
You're giving me a heart attack looking like you do, ooh
'Cause you're all I ever wanted (Ever wanted), thought you would be the one
It's (Ow!) giving me a heart attack (C'mon)
Gettin' over you, ooh, ooh, ooh

[Post-Chorus: All, Zayn, Niall, Harry]
(Oh-oh, oh-oh-oh-oh)
You, you're all I ever wanted (Ow!)
(Oh-oh, oh-oh-oh-oh)
Yeah, yeah, every time you look like that, c'mon (Ow!)
(Oh-oh, oh-oh-oh-oh)
You're all I ever wanted (Ow!)
(Oh-oh, oh-oh-oh-oh)
You're giving me a heart attack (Ow!)"
28,"""Heroes""",The X Factor finalists 2010,"David Bowie, Brian Eno",__,2010,"[Verse 1: Matt Cardle]
I, I will be king
And you, you will be queen

[Chorus: Rebecca Ferguson & Treyc Cohen]
Though nothing will drive them away
We can beat them, just for one day
We can be heroes, just for one day

[Post-Chorus: Rebecca Ferguson & Belle Amie]
We can be heroes
We can be heroes

[Verse 2: Paije Richardson & Katie Waissel]
I, I wish you could swim
Like the dolphins, like dolphins can swim

[Chorus: Harry Styles, Liam Payne & Niall Horan, Liam Payne, Louis Tomlinson & Zayn Malik, Belle Amie]
Though nothing, nothing will keep us together
Oh, we can be heroes, just for one day

[Post-Chorus: Aiden Grimshaw]
We can be heroes
We can be heroes

[Verse 3: Mary Byrne, John Adeleye, Cher Lloyd & Aiden Grimshaw]
I, I can remember (I remember)
Standing by the wall (By the wall)
And the guns shot above our heads (Over our heads)
We could be heroes just for one day

[Bridge: All, Rebecca Ferguson, Paije Richardson, Treyc Cohen& *Mary Byrne*]
We can be heroes (We can be heroes)
We can be heroes (We can be heroes)
We can be heroes (*We can be heroes*)
We can be heroes
We can be heroes
We can be heroes
We can be heroes

[Outro: Katie Waissel, Cher Lloyd, Liam Payne & Matt Cardle]
Just for one day
We could be heroes
We could be heroes
Just for one day"
29,"""Hey Angel""",One Direction,"Ed Drewett, John Ryan, Julian Bunetta",Made in the A.M.,2015,"[Intro: Liam]
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh

[Verse 1: Harry]
Hey angel
Do you know the reasons why
We look up to the sky?
Hey angel
Do you look at us and laugh
When we hold on to the past?
Hey angel

[Chorus: Louis, Liam]
Oh, I wish I could be more like you (Ooh, ooh, ooh, ooh)
Do you wish you could be more like me? (Ooh, ooh, ooh)
Oh, I wish I could be more like you (Ooh, ooh, ooh, ooh)
Do you wish you could be more like me? (Ooh, ooh, ooh)

[Post-Chorus: Liam]
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh

[Verse 2: Harry]
Hey angel
Tell me, do you ever try
To come to the other side?
Hey angel
Tell me, do you ever cry
When we waste away our lives?

[Chorus: Niall, Liam]
Oh, I wish I could be more like you (Ooh, ooh, ooh, ooh)
Do you wish you could be more like me? (Ooh, ooh, ooh)
Oh, I wish I could be more like you (Ooh, ooh, ooh, ooh)
Oh, I wish I could be more, I could be more, I could be more

[Post-Chorus: Liam]
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh

[Bridge: Liam, Liam & Louis]
Yeah, I see you at the bar, at the edge of my bed
Backseat of my car, in the back of my head
I come alive when I hear your voice
It's a beautiful sound, it's a beautiful noise
I see you at the bar, at the edge of my bed
Backseat of my car, in the back of my head
I come alive when I hear your voice
It's a beautiful sound, it's a beautiful noise

[Breakdown: Harry, Liam]
Hey angel
Hey angel
Do you look up to the sky?
Do you look up to the sky?

[Chorus: Niall & Louis, Liam, Harry]
Oh, I wish I could be more like you (Ooh, ooh, ooh, ooh)
Do you wish you could be more like me? (Ooh, ooh, ooh; Wish you were more like me)
Oh, I wish I could be more like you (Ooh, ooh, ooh, ooh; Do ya? Ah, do ya?)
Do you wish you could be more like me? (Ooh, ooh, ooh)

[Outro: Harry, Liam]
Hey angel (Ooh, ooh, ooh, ooh)
Hey angel (Ooh, ooh, ooh)"
30,"""History""",One Direction,"Liam Payne, Louis Tomlinson, Ed Drewett, Wayne Hector, Julian Bunetta, John Ryan",Made in the A.M.,2015,"[Verse 1: Harry]
You gotta help me
I'm losing my mind
Keep getting the feelin'
You wanna leave this all behind

[Refrain: Harry]
Thought we were going strong
I thought we were holdin' on
Aren't we?

[Verse 2: Niall]
No, they don't teach ya
This in school
Now my heart's breakin'
And I don't know what to do

[Refrain: Niall]
Thought we were going strong
I thought we were holdin' on
Aren't we?

[Chorus: All, Liam]
You and me got a whole lot of history (Oh)
We could be the greatest team
That the world has ever seen
You and me got a whole lot of history (Oh)
So don't let it go, we can make some more
We can live forever

[Verse 3: Liam]
All of the rumours
All of the fights
But we always find a way
To make it out alive

[Refrain: Liam]
Thought we were going strong
Thought we were holdin' on
Aren't we?

[Chorus: All, Liam]
You and me got a whole lot of history (Oh)
We could be the greatest team
That the world has ever seen
You and me got a whole lot of history (Oh)
So don't let it go, we can make some more
We can live forever

[Bridge: Louis]
Minibars, expensive cars
Hotel rooms and new tattoos
The good champagne and private planes
But they don't mean anything
'Cause the truth is out, I realise
That without you here, life is just a lie
This is not the end, this is not the end
We can make it, you know it, you know

[Chorus: All, Liam]
You and me got a whole lot of history (Oh)
We could be the greatest team
That the world has ever seen
You and me got a whole lot of history (Oh)
So don't let it go, we can make some more
We can live forever
You and me got a whole lot of history (Oh)
We could be the greatest team
That the world has ever seen
You and me got a whole lot of history (Oh)
So don't let it go, we can make some more
We can live forever

[Outro: Harry, All, Liam]
So don't let me go, so don't let me go
We can live forever
Baby, don't you know? Baby, don't you know?
We can live forever"
31,"""Home""",One Direction,"Liam Payne, Louis Tomlinson, Jamie Scott",Perfect EP,2015,"[Verse 1: Liam, Niall]
Make a little conversation
So long I've been waiting
To let go of myself and feel alive
So many nights I thought it over
Told myself I kind of liked her
But there was something missing in her eyes

[Pre-Chorus: Harry]
I was stumbling
Looking in the dark (Oh-oh)
With an empty heart
But you say you feel the same
Could we ever be enough? (Oh-oh)
Baby, we could be enough

[Chorus: All, Louis]
And it's alright
Calling out for somebody to hold tonight
When you're lost, I'll find a way and I'll be your light
You'll never feel like you're alone
I'll make this feel like home

[Verse 2: Niall, Louis]
So hot that I couldn't take it
Wanna wake up and see your face
And remember how good it was being here last night
Still high with a little feeling
I see the smile as it starts to creep in
It was there, I saw it in your eyes

[Pre-Chorus: Harry]
I was stumbling
Looking in the dark (Oh-oh)
With an empty heart
But you say you feel the same
Could we ever be enough? (Oh-oh)
Baby, we could be enough

[Chorus: All, Louis]
And it's alright
Calling out for somebody to hold tonight
When you're lost, I'll find a way and I'll be your light
You'll never feel like you're alone
I'll make this feel like home

[Bridge: Louis, Harry]
I'll make this feel like home
Baby, we could be enough

[Chorus: All, Louis]
And it's alright
Calling out for somebody to hold tonight
When you're lost, I'll find a way and I'll be your light
You'll never feel like you're alone
I'll make this feel like home"
32,"""I Should've Kissed You""",One Direction,"Steve Robson, Ina Wroldsen",Up All Night,2011,"[Verse 1: Liam, Harry, Liam & Harry]
I keep playin' it inside my head, all that you said to me
I lie awake, just to convince myself this wasn't just a dream
'Cause you were right here and I should've taken the chance
But I got so scared and I lost the moment again
It's all that I can think about, oh, you're all that I can think about

[Chorus: All]
Is your heart taken? Is there somebody else on your mind?
I'm so sorry, I'm so confused, just tell me, am I out of time?
Is your heart breaking? How do you feel about me now?
I can't believe I let you walk away when, when I shoulda kissed you

[Post-Chorus: All]
I shoulda, I shoulda, oh, I shoulda kissed you
I shoulda, I shoulda, oh, I shoulda kissed you
I shoulda, I shoulda, oh, I shoulda kissed you
I shoulda, I shoulda, oh, I shoulda kissed you

[Verse 2: Liam, Zayn, Louis & Zayn]
Every morning when I leave my house, I always look for you, yeah
I see you every time I close my eyes, what am I gonna do?
And all my friends say that I'm punchin' over my weight
But in your eyes, I saw how you were looking at me
It's all that I can think about, oh, you're all that I can think about
[Chorus: All]
Is your heart taken? Is there somebody else on your mind?
I'm so sorry, I'm so confused, just tell me, am I out of time?
Is your heart breaking? How do you feel about me now?
I can't believe I let you walk away when, when I shoulda kissed you

[Post-Chorus: All]
I shoulda, I shoulda, oh, I shoulda kissed you
I shoulda, I shoulda, oh, I shoulda kissed you
I shoulda, I shoulda, oh, I shoulda kissed you
I shoulda, I shoulda, oh, I shoulda kissed you

[Bridge: Zayn, Liam]
When you stood there, just a heartbeat away
When we were dancin' and you looked up at me
If I had known then that I'd be feeling this way
If I could replay, I would've never have let you go
No, woah, never have let you go
Am I out of time?

[Chorus: All, Zayn]
Is your heart taken? (Yeah) Is there somebody else on your mind?
I'm so sorry, I'm so confused, just tell me, am I out of time?
Is your heart breaking? (Breaking, yeah, ooh) How do you feel about me now?
I can't believe I let you walk away when, when I shoulda kissed you (Oh)

[Post-Chorus: All, Zayn]
I shoulda, I shoulda, oh, I shoulda kissed you
I shoulda, I shoulda, oh, I shoulda kissed you (Oh)
I shoulda, I shoulda, oh, I shoulda kissed you (Yeah, oh)
I shoulda, I shoulda, oh, I shoulda kissed you
I shoulda kissed you"
33,"""I Want""",One Direction,Tom Fletcher,Up All Night,2011,"[Verse 1: Harry]
Give you this, give you that
Blow a kiss, take it back
If I look inside your brain
I would find lots of things
Clothes, shoes, diamond rings
Stuff that's driving me insane
You could be preoccupied
Different date every night
You just got to say the word
But you're not into them at all
You just want materials
I should know because I've heard the girls say

[Chorus: All, Louis]
I want, I want, I want, but that's crazy
I want, I want, I want, and that's not me
I want, I want, I want to be loved by you

[Verse 2: Liam]
You've got everythin' you need
But you want accessories
Got to hold it in your hand
If I changed the world for you
I bet you wouldn't have a clue
Don't you know that I can't stand when girls say

[Chorus: All, Niall, Louis, Zayn]
I want, I want, I want, but that's crazy
I want, I want, I want, and that's not me
I want, I want, I want to be loved by you
Oh, and all the girls say
I want, I want, I want, but that's crazy
I want, I want, I want, and that's not me
I want, I want, I want to be loved by you

[Bridge: Zayn]
Be loved by you, I wanna
I'll stay true, I wanna
If you knew what you put me through
Would you want, you want, you want me to love you too?

[Instrumental Break]

[Breakdown: Liam, Zayn]
I want, I want, I want, but that's crazy
I want, I want, I want, but that's not me
I want, I want, I wanna be loved by you
(Oh, and all the girls say)

[Chorus: All, Louis, Niall, Harry, *Zayn*]
I want, I want, I want, but that's crazy
I want, I want, I want, and that's not me
I want, I want, I want to be loved by you
I want, I want, I want and all the girls say
I want, I want, I want, *and that's crazy*
I want, I want, I want to be loved by you"
34,"""I Want to Write You a Song""",One Direction,"Ammar Malik, John Ryan, Julian Bunetta",Made in the A.M.,2015,"[Verse 1: Harry, Liam]
I wanna write you a song
One as beautiful as you are sweet
With just a hint of pain
For the feeling that I get when you are gone
I wanna write you a song
I wanna lend you my coat
One that's as soft as your cheek
So when the world is cold
You will have a hiding place you can go
I wanna lend you my coat

[Chorus: Louis, Louis & Liam]
Ooh, everything I need I get from you
Ooh, and giving back is all I wanna do

[Verse 2: Liam]
I wanna build you a boat
One as strong as you are free
So any time you think
That your heart is gonna sink, you know it won't
I wanna build you a boat

[Chorus: Louis, Louis & Liam]
Ooh, everything I need I get from you
Ooh, and giving back is all I wanna do, ooh

[Instrumental Bridge]

[Chorus: Harry, Harry & Liam]
Ooh, everything I need I get from you
Ooh, giving back is all I wanna do, ooh

[Outro: Niall]
I wanna write you a song
One to make your heart remember me
So any time I'm gone
You can listen to my voice and sing along
I wanna write you a song
I wanna write you a song"
35,"""I Wish""",One Direction,"Rami Yacoub, Carl Falk, Savan Kotecha",Up All Night,2011,"[Intro: Liam]
Na-na-na-na-na
Na-na-na-na-na

[Verse 1: Zayn, Liam]
He takes your hand, I die a little
I watch your eyes and I'm in riddles
Why can't you look at me like that? (Na-na-na-na-na)
When you walk by, I try to say it
But then I freeze and never do it
My tongue gets tied, the words get trapped

[Pre-Chorus: Harry]
I hear the beat of my heart getting louder
Whenever I'm near you

[Chorus: All, Zayn]
But I see you, with him, slow dancin'
Tearing me apart 'cause you don't see
Whenever you kiss him, I'm breakin'
Oh, how I wish that was me

[Interlude: Liam]
Na-na-na-na-na
Na-na-na-na-na

[Verse 2: Harry & Niall, Harry]
He looks at you the way that I would
Does all the things I know that I could
If only time could just turn back

[Pre-Chorus: Harry & Zayn]
'Cause I got three little words
That I've always been dying to tell you

[Chorus: All, Harry]
But I see you, with him, slow dancin'
Tearing me apart 'cause you don't see
Whenever you kiss him, I'm breakin'
Oh, how I wish that was me

[Bridge: Harry, Harry & Zayn]
With my hands on your waist
While we dance in the moonlight
I wish it was me that you'll call later on
'Cause you wanna say goodnight

[Breakdown: Liam & Zayn]
'Cause I see you, with him, slow dancing
Tearing me apart 'cause you don't see

[Chorus: All, Harry, Zayn]
But I see you, with him, slow dancin'
Tearing me apart 'cause you don't see
Whenever you kiss him, I'm breakin'
Oh, how I wish, oh, how I wish
Oh, how I wish that was me

[Outro: Zayn]
Oh, how I wish that was me"
36,"""I Would""",One Direction,"Tom Fletcher, Danny Jones, Dougie Poynter",Take Me Home,2012,"[Verse 1: Liam, Harry]
Lately, I found myself thinking
Been dreaming about you a lot
And up in my head, I'm your boyfriend
But that's one thing you've already got
He drives to school every morning
While I walk alone in the rain
He'd kill me without any warning
If he took a look in my brain

[Chorus: Zayn, All]
Would he say he's in L-O-V-E?
Well, if it was me, then I would, I would
Would he hold you when you're feeling low?
Baby, you should know that I would, I would
Would he say he's in L-O-V-E?
Well, if it was me, then I would, I would
Would he hold you when you're feeling low?
Baby, you should know that I would

[Verse 2: Niall, Liam, Louis]
Back in my head, we were kissing
I thought things were going alright (Alright, alright, alright)
With a sign on my back saying ""Kick me""
Reality ruined my life (Go Tommo, go!)
Feels like I'm constantly playing
A game that I'm destined to lose
'Cause I can't compete with your boyfriend
He's got twenty-seven tattoos

[Chorus: Zayn, All]
Would he say he's in L-O-V-E?
Well, if it was me, then I would, I would
Would he hold you when you're feeling low?
Baby, you should know that I would, I would
Would he say he's in L-O-V-E?
Well, if it was me, then I would, I would
Would he hold you when you're feeling low?
Baby, you should know that I would

[Post-Chorus: All]
I would, I would

[Bridge: Louis, Zayn]
Would he please you?
Would he kiss you?
Would he treat you like I would? (I would)
Would he touch you?
Would he need you?
Would he love you like I would?

[Breakdown: Harry]
Would he say he's in L-O-V-E?
Well, if it was me, then I would
Would he hold you when you're feeling low?
Baby, you should know that I would

[Outro: Louis, Zayn, All]
Would he please you? (Would he please you?)
Would he kiss you? (Would he kiss you?)
Would he treat you like I would? (Like I would)
Would he touch you? (Would he touch you?)
Would he need you? (Would he need you?)
Would he love you like I would? (Like I would)
Would he say he's in L-O-V-E?
Well, if it was me then I would, I would (Like I would)
Would he hold you when you're feeling low?
Baby, you should know that I would
I would (Yeah), I would (Yeah)"
37,“If I Could Fly”,One Direction,"Harry Styles, Ross Golan, Johan Carlsson",Made in the A.M.,2015,"[Verse 1: Harry]
If I could fly
I'd be coming right back home to you
I think I might
Give up everything, just ask me to

[Pre-Chorus: Liam]
Pay attention, I hope that you listen
'Cause I let my guard down
Right now, I'm completely defenceless

[Chorus: Harry]
For your eyes only, I show you my heart
For when you're lonely and forget who you are
I'm missing half of me when we're apart
Now you know me, for your eyes only
For your eyes only

[Verse 2: Louis]
I've got scars
Even though they can't always be seen
And pain gets hard
But now you're here and I don't feel a thing

[Pre-Chorus: Niall, Niall & Liam]
Pay attention, I hope that you listen
'Cause I let my guard down
Right now, I'm completely defenceless

[Chorus: All]
For your eyes only, I show you my heart
For when you're lonely and forget who you are
I'm missing half of me when we're apart
Now you know me, for your eyes only
For your eyes only

[Bridge: Louis & Harry, Harry & Niall, All, Harry]
I can feel your heart inside of mine (I feel it, I feel it)
I've been going out of my mind (I feel it, I feel it)
Know that I'm just wasting time (And I)
Hope that you don't run from me

[Breakdown: Louis, Niall, Harry, Liam, (All)]
For your eyes only, I show you my heart
For when you're lonely and forget who you are
I'm missing half of me when we're apart
(Now you know me, for your eyes only)

[Chorus: All, Niall]
For your eyes only, I show you my heart (Show you my heart)
For when you're lonely and forget who you are (Forget who you are)
I'm missing half of me when we're apart
Now you know me, for your eyes only
For your eyes only

[Outro: Harry]
For your eyes only"
38,"""Illusion""",One Direction,"Liam Payne, Niall Horan, Jamie Scott, Julian Bunetta, John Ryan",Four,2014,"[Intro: All]
Tell me you believe in love
It's not an illusion
Yeah

[Verse 1: Liam]
I've been thinking 'bout the nights and the dangerous tricks
People play on the eyes of the innocent (Yeah)
I could turn a lot of hearts into breaks with smoke
And mirrors disappearing right in front of them (Yeah)

[Pre-Chorus: Harry]
But believe me (Yeah)
I'm not trying to deceive ya (Yeah)
I promise falling for me won't be a mistake

[Chorus: All]
No, baby, this is not an illusion
I've really got my heart out on my sleeve (Yeah)
Oh, baby, this is not an illusion
There's magic between you and me
No, baby, this is not an illusion
You really got me lifted off my feet
So tell me you believe in love
'Cause it's not an illusion to me

[Verse 2: Liam]
You don't ever have to worry 'bout me
'Bout how the cards fall, I'm all that you need tonight (Yeah)
I would never turn your heart into broken parts
You don't have to think twice looking in my eyes (Yeah)

[Pre-Chorus: Louis]
Can't you see it? (Yeah)
I'm not trying to mislead ya (Yeah)
I promise falling for me won't be a mistake

[Chorus: All, Harry]
No, baby, this is not an illusion
I've really got my heart out on my sleeve
Oh, baby, this is not an illusion
There's magic between you and me
No, baby, this is not an illusion
You really got me lifted off my feet
So tell me you believe in love (Tell me you believe in love)
'Cause it's not an illusion to me

[Bridge: Niall]
You can tie me up in chains, you can throw away the key
But there's no trap doors, I'm not gonna leave
You're the truth I can't explain, you're the only one I see
It's not an illusion to me

[Chorus: All, Zayn]
No, baby, this is not an illusion
I've really got my heart out on my sleeve
Oh, baby, this is not an illusion (This is not an illusion)
There's magic between you and me
No, baby, this is not an illusion (This is not an illusion, yeah)
You really got me lifted off my feet (Really got me off my feet)
So tell me you believe in love
'Cause it's not an illusion to me

[Outro: Harry, All]
Believe in love
So tell me you believe in love
'Cause it's not an illusion"
39,"""Infinity""",One Direction,"Jamie Scott, John Ryan, Julian Bunetta",Made in the A.M.,2015,"[Verse 1: Niall]
Down to Earth
Keep on falling when I know it hurts
Going faster than a million miles an hour
Tryna catch my breath some way, somehow
Down to Earth
It's like I'm frozen but the world still turns
Stuck in motion and the wheels keep spinning 'round
Moving in reverse with no way out

[Pre-Chorus: Liam]
And now I'm one step closer to being
Two steps far from you
When everybody wants you
Everybody wants you

[Chorus: Harry, All]
How many nights does it take to count the stars?
That's the time it would take to fix my heart
Oh, baby, I was there for you
All I ever wanted was the truth, yeah, yeah
How many nights have you wished someone would stay?
Lie awake, only hoping they're okay
I never counted all of mine
If I tried, I know it would feel like infinity
Infinity, infinity, yeah
Infinity

[Verse 2: Liam]
Eyes can't shine
Unless there's something burning bright behind
Since you went away, there's nothing left in mine
I feel myself runnin' out of time

[Pre-Chorus: Louis, Louis & Liam]
And now I'm one step closer to being
Two steps far from you
When everybody wants you
Everybody wants you

[Chorus: Harry, All]
How many nights does it take to count the stars?
That's the time it would take to fix my heart
Oh, baby, I was there for you
All I ever wanted was the truth, yeah, yeah
How many nights have you wished someone would stay?
Lie awake only hoping they're okay
I never counted all of mine
If I tried, I know it would feel like infinity
Infinity, infinity, yeah

[Post-Chorus: Harry, Liam]
Infinity (Infinity, infinity, infinity, infinity)
Infinity (Infinity, infinity, infinity, infinity)

[Instrumental Bridge]

[Chorus: All, Harry]
How many nights does it take to count the stars?
That's the time it would take to fix my heart
Oh, baby, I was there for you
All I ever wanted was the truth, yeah, yeah
(All I ever wanted was the truth, yeah, yeah)
How many nights have you wished someone would stay?
Lie awake only hoping they're okay (Yeah, yeah)
I never counted all of mine
If I tried, I know it would feel like infinity (Infinity)
Infinity (Infinity), infinity, yeah
Infinity"
40,"""Irresistible""",One Direction,"Tom Fletcher, Danny Jones, Dougie Poynter, Harry Styles, Liam Payne, Louis Tomlinson, Niall Horan, Zayn Malik",Take Me Home,2012,"[Verse 1: Harry]
Don't try to make me stay or ask if I'm okay
I don't have the answer
Don't make me stay the night or ask if I'm alright
I don't have the answer

[Pre-Chorus: Liam]
Heartache doesn't last forever
I'll say I'm fine
Midnight ain't no time for laughing
When you say goodbye

[Chorus: Zayn]
It makes your lips so kissable
And your kiss unmissable
Your fingertips so touchable
And your eyes, irresistible

[Verse 2: Niall, Harry]
I've tried to ask myself, should I see someone else?
I wish I knew the answer
But I know, if I go now, if I leave, then I'm on my own tonight
I'll never know the answer

[Pre-Chorus: Liam]
Midnight doesn't last forever
Dark turns to light
Heartache flips my world around
I'm falling down, down, down, that's why

[Chorus: Zayn]
I find your lips so kissable
And your kiss unmissable
Your fingertips so touchable
And your eyes, irresistible

[Post-Chorus: All, Zayn]
Irresistible (Irresistible)
Irresistible (Irresistible)
Irresistible (Irresistible)
Irresistible

[Bridge: Harry]
It's in your lips and in your kiss
It's in your touch and your fingertips
And it's in all the things and other things
That make you who you are
And your eyes, irresistible

[Chorus: All, Zayn, Louis, Liam]
It makes your lips so kissable (Oh)
And your kiss unmissable (Oh)
Your fingertips so touchable
And your eyes
(Your eyes, your eyes, your eyes, your eyes, your eyes)
Irresistible"
41,"""Kiss You""",One Direction,"Cagaanan, Rami Yacoub, Carl Falk, Savan Kotecha, Shellback, Kristian Lundin, Albin Nedler, Kristoffer Fogelmark",Take Me Home,2012,"[Verse 1: Zayn, Harry]
Oh, I just wanna take you anywhere that you'd like
We could go out any day, any night
Baby, I'll take you there, take you there
Baby, I'll take you there, yeah
Oh, tell me, tell me, tell me how to turn your love on
You can get, get anything that you want
Baby, just shout it out, shout it out
Baby, just shout it out, yeah

[Pre-Chorus: Liam, Harry]
And if you, you want me too, let's make a move
Yeah, so tell me, girl, if every time we

[Chorus: All, Harry]
Touch
You get this kinda rush
Baby, say, yeah, yeah, yeah, yeah, yeah, yeah
If you don't wanna take it slow
And you just wanna take me home
Baby, say, yeah, yeah, yeah, yeah, yeah
And let me kiss you

[Verse 2: Zayn, Niall]
Oh, baby, baby, don't you know you got what I need?
Looking so good from your head to your feet
Come on, come over here, over here
Come on, come over here, yeah
Oh, I just wanna show you off to all of my friends
Making them drool down their chinny-chin-chins
Baby, be mine tonight, mine tonight
Baby, be mine tonight, yeah

[Pre-Chorus: Liam, Zayn]
And if you, you want me too, let's make a move
Yeah, so tell me, girl, if every time we

[Chorus: All, Niall, Zayn]
Touch
You get this kinda rush
Baby, say, yeah, yeah, yeah, yeah, yeah, yeah
If you don't wanna take it slow (C'mon)
And you just wanna take me home
Baby, say, yeah, yeah, yeah, yeah, yeah
And let me kiss you

[Bridge: Zayn, All, Louis]
(Let me kiss you)
(Let me kiss you)
(Let me kiss you)
(Let me kiss you) C'mon
Na-na-na-na-na-na-na-na
Na-na-na-na-na-na-na-na
Na-na-na-na-na-na-na-na
Yeah, so tell me, girl, if every time we

[Chorus: All, Zayn, Harry]
Touch (Touch)
You get this kinda rush (Ru-u-ush)
Baby, say, yeah, yeah, yeah, yeah, yeah, yeah
If you don't wanna take it slow (Slow)
And you just wanna take me home (Home)
Baby, say, yeah, yeah, yeah (Yeah), yeah, yeah (Yeah, yeah)
Every time we touch (Touch)
You get this kinda rush
Baby, say, yeah, yeah, yeah, yeah, yeah, yeah (Yeah)
If you don't wanna take it slow (Take it slow)
And you just wanna take me home (Take me home)
Baby, say, yeah, yeah, yeah (Yeah, yeah)
And let me kiss you"
